stop_id,stop_name,stop_code,stop_lat,stop_lon,zone_id
NishiTokyoBus.TenjikuSportsPark.8556.27,天竺運動公園,27,35.7666099978376,139.307161442957,NishiTokyoBus.TenjikuSportsPark.8556.27
NishiTokyoBus.KishidaPark.8313.8,岸田公園,8,35.6485565050895,139.354370736025,NishiTokyoBus.KishidaPark.8313.8
NishiTokyoBus.Chikaraishi.1220.1,力石,1,35.6741522673106,139.220785651544,NishiTokyoBus.Chikaraishi.1220.1
NishiTokyoBus.KogakuinUniversityNishi.2150.10,工学院大学西,10,35.682735,139.317414,NishiTokyoBus.KogakuinUniversityNishi.2150.10
NishiTokyoBus.KishidaPark.8313.17,岸田公園,17,35.648300972063,139.354095770627,NishiTokyoBus.KishidaPark.8313.17
NishiTokyoBus.KitanoTenjinShrine.8312.17,北野天神,17,35.6482120464497,139.351448772331,NishiTokyoBus.KitanoTenjinShrine.8312.17
NishiTokyoBus.Miyanoshita.1230.1,宮の下,1,35.6710100381633,139.217050550874,NishiTokyoBus.Miyanoshita.1230.1
NishiTokyoBus.TenryuJiTemple.8311.17,天龍寺,17,35.6474270987956,139.349638958778,NishiTokyoBus.TenryuJiTemple.8311.17
NishiTokyoBus.YuyakeKoyake.1240.1,夕焼小焼,1,35.67042,139.214307,NishiTokyoBus.YuyakeKoyake.1240.1
NishiTokyoBus.Sedokakamigata.8004.18,瀬戸岡上賀多,18,35.7406685900487,139.290352366786,NishiTokyoBus.Sedokakamigata.8004.18
NishiTokyoBus.KatakuraKamanukiPark.8302.8,片倉かまぬき公園,8,35.6361781798127,139.342644502082,NishiTokyoBus.KatakuraKamanukiPark.8302.8
NishiTokyoBus.Motoyokoyama2Chome.8101.1,元横山２丁目,1,35.6619602948623,139.335357808942,NishiTokyoBus.Motoyokoyama2Chome.8101.1
NishiTokyoBus.KitanoStationSouthExit.8310.17,北野駅南口,17,35.6448407670445,139.352975467443,NishiTokyoBus.KitanoStationSouthExit.8310.17
NishiTokyoBus.SugaseBashiBridge.3860.18,菅瀬橋,18,35.7427961397949,139.290325604375,NishiTokyoBus.SugaseBashiBridge.3860.18
NishiTokyoBus.KatakuradaiIriguchi.8309.17,片倉台入口,17,35.6411982630609,139.34634535246,NishiTokyoBus.KatakuradaiIriguchi.8309.17
NishiTokyoBus.KomiyakuboUe.8073.18,小宮久保上,18,35.7445701612283,139.292874199918,NishiTokyoBus.KomiyakuboUe.8073.18
NishiTokyoBus.MasakaCommunityPark.8557.27,間坂コミュニティー公園,27,35.7652701056453,139.305128617923,NishiTokyoBus.MasakaCommunityPark.8557.27
NishiTokyoBus.Masaka.8558.27,間坂,27,35.7635952540257,139.303367452419,NishiTokyoBus.Masaka.8558.27
NishiTokyoBus.KatakuradaIuchikoshiPark.8308.17,片倉台打越公園,17,35.6382863575692,139.346647128148,NishiTokyoBus.KatakuradaIuchikoshiPark.8308.17
NishiTokyoBus.KoyasuJinjaShrineKita.8222.8,子安神社北,8,35.6776967680609,139.325227370096,NishiTokyoBus.KoyasuJinjaShrineKita.8222.8
NishiTokyoBus.IppoinTemple.8520.30,一峰院,30,35.7613732201731,139.30054501136,NishiTokyoBus.IppoinTemple.8520.30
NishiTokyoBus.Urajuku.8353.17,裏宿,17,35.6635917157428,139.28356842377,NishiTokyoBus.Urajuku.8353.17
NishiTokyoBus.SedokaNakagata.8003.18,瀬戸岡中賀多,18,35.7372431389229,139.29125800486,NishiTokyoBus.SedokaNakagata.8003.18
NishiTokyoBus.KamanukihakusanJinjaShrine.8301.8,釜貫白山神社,8,35.6372919350227,139.341811464425,NishiTokyoBus.KamanukihakusanJinjaShrine.8301.8
NishiTokyoBus.AttakaHall.8318.8,あったかホール,8,35.6561667665075,139.352327221976,NishiTokyoBus.AttakaHall.8318.8
NishiTokyoBus.MatsueBashiBridge.2230.8,松枝橋,8,35.6818464686799,139.301693022411,NishiTokyoBus.MatsueBashiBridge.2230.8
NishiTokyoBus.YotsuyaKita.8205.8,四谷北,8,35.6795688555344,139.297171280592,NishiTokyoBus.YotsuyaKita.8205.8
NishiTokyoBus.GakkoMae.6540.1,学校前（奥多摩町）,1,35.7861328045516,139.014894816473,NishiTokyoBus.GakkoMae.6540.1
NishiTokyoBus.MiyamaIndastrialPark.1620.10,美山工業団地,10,35.6951417551676,139.240480549402,NishiTokyoBus.MiyamaIndastrialPark.1620.10
NishiTokyoBus.OyashikiIriguchi.1590.10,御屋敷入口,10,35.6860312806679,139.25294410049,NishiTokyoBus.OyashikiIriguchi.1590.10
NishiTokyoBus.Hagizono.1580.10,萩園,10,35.684654,139.255157,NishiTokyoBus.Hagizono.1580.10
NishiTokyoBus.AkirudaBranchFireStation.8002.18,秋留台消防出張所,18,35.7318540175519,139.292656470204,NishiTokyoBus.AkirudaBranchFireStation.8002.18
NishiTokyoBus.MatsuyamakaikanIriguchi.8005.18,松山会館入口,18,35.7432203610153,139.296046498615,NishiTokyoBus.MatsuyamakaikanIriguchi.8005.18
NishiTokyoBus.TasaiChildWelfare.8006.18,多西児童館前,18,35.7426288167091,139.299429300471,NishiTokyoBus.TasaiChildWelfare.8006.18
NishiTokyoBus.SilverHumanResourcesCenter.8516.37,シルバー人材センター,37,35.7602573778249,139.309098796801,NishiTokyoBus.SilverHumanResourcesCenter.8516.37
NishiTokyoBus.NishigayatoNishidori.8008.18,西ヶ谷戸西通り,18,35.7419548414964,139.306262930645,NishiTokyoBus.NishigayatoNishidori.8008.18
NishiTokyoBus.CentralCommunityCenter.AkigawaGymnasium.8022.18,中央公民館・秋川体育館,18,35.729994946552,139.302652114568,NishiTokyoBus.CentralCommunityCenter.AkigawaGymnasium.8022.18
SeibuBus.Kamifukuoka.120077.1,上福岡,1,35.8747697222222,139.517034444444,SeibuBus.Kamifukuoka.120077.1
SeibuBus.Kamifukuoka.120077.2,上福岡,2,35.8748783333333,139.516724166667,SeibuBus.Kamifukuoka.120077.2
NishiTokyoBus.HigashiJHSIriguchi.3400.18,東中学校入口,18,35.7286937002521,139.302847158288,NishiTokyoBus.HigashiJHSIriguchi.3400.18
SeibuBus.Ookuboshisho.120125.2,大久保支所,2,35.8704269444444,139.598394166667,SeibuBus.Ookuboshisho.120125.2
SeibuBus.Komurada.120134.5,小村田,5,35.8904230555556,139.619071944444,SeibuBus.Komurada.120134.5
SeibuBus.Yonokirishikikawa.120135.1,与野霧敷川,1,35.8911208333333,139.6216475,SeibuBus.Yonokirishikikawa.120135.1
NishiTokyoBus.HonchokaikanIriguchi.8514.37,本町会館入口,37,35.7595689211512,139.313724555448,NishiTokyoBus.HonchokaikanIriguchi.8514.37
NishiTokyoBus.KaizanParkIriguchi.8515.37,介山公園入口,37,35.7602685269156,139.31134138782,NishiTokyoBus.KaizanParkIriguchi.8515.37
NishiTokyoBus.Nakakaikan.8517.37,奈賀会館,37,35.7584408848093,139.307917034145,NishiTokyoBus.Nakakaikan.8517.37
NishiTokyoBus.ZempukuJiTempleIriguchi.8518.37,褝福寺入口,37,35.7592002259732,139.306654048514,NishiTokyoBus.ZempukuJiTempleIriguchi.8518.37
SeibuBus.Yonokirishikikawa.120135.2,与野霧敷川,2,35.89124,139.622262777778,SeibuBus.Yonokirishikikawa.120135.2
SeibuBus.Kitaimmae.130016.2,喜多院前,2,35.9177680555556,139.490747777778,SeibuBus.Kitaimmae.130016.2
NishiTokyoBus.DoyukaiHome.2100.10,同友会ホーム,10,35.706128,139.255348,NishiTokyoBus.DoyukaiHome.2100.10
NishiTokyoBus.KosodeGawaRiver.6760.10,小袖川,10,35.7809525686824,138.985573045708,NishiTokyoBus.KosodeGawaRiver.6760.10
NishiTokyoBus.SozenJiTemple.8703.1,宗禅寺,1,35.7515154124826,139.317982072703,NishiTokyoBus.SozenJiTemple.8703.1
NishiTokyoBus.AkirunoHealthClinic.3371.19,あきる野保健相談所,19,35.7286412595277,139.29001683736,NishiTokyoBus.AkirunoHealthClinic.3371.19
NishiTokyoBus.Kaniwasawa.6120.10,神庭沢,10,35.8381863152675,139.073452000902,NishiTokyoBus.Kaniwasawa.6120.10
SeibuBus.Shimoshinden.130144.2,下新田,2,35.8465963888889,139.438880555556,SeibuBus.Shimoshinden.130144.2
SeibuBus.Hachimanchousanchoume.60085.2,八幡町三丁目,2,35.7474102777778,139.513121388889,SeibuBus.Hachimanchousanchoume.60085.2
NishiTokyoBus.AkigawadaiIriguchi.8029.19,秋川台入口,19,35.7152580739057,139.296035287119,NishiTokyoBus.AkigawadaiIriguchi.8029.19
NishiTokyoBus.IkiikiCenter.8030.19,いきいきｾﾝﾀｰ,19,35.7164406417754,139.291259518177,NishiTokyoBus.IkiikiCenter.8030.19
NishiTokyoBus.NobePostOffice.8033.19,野辺郵便局,19,35.7238393358095,139.30950710649,NishiTokyoBus.NobePostOffice.8033.19
NishiTokyoBus.AkirunoCityHall.8024.19,あきる野市役所,19,35.7287566043795,139.294563121151,NishiTokyoBus.AkirunoCityHall.8024.19
NishiTokyoBus.Hinodefukushien.4080.16,日の出福祉園前,16,35.7341893911263,139.28063597207,NishiTokyoBus.Hinodefukushien.4080.16
NishiTokyoBus.AkiruMedicalCenter.4090.16,阿伎留医療センター,16,35.732258,139.271882,NishiTokyoBus.AkiruMedicalCenter.4090.16
SeibuBus.Shimoshinden.130144.1,下新田,1,35.8466388888889,139.438831666667,SeibuBus.Shimoshinden.130144.1
NishiTokyoBus.FujimiPark.8531.17,富士見公園,17,35.7659677073274,139.315221636474,NishiTokyoBus.FujimiPark.8531.17
SeibuBus.Minaminagai.110079.2,南永井,2,35.8155725,139.509785277778,SeibuBus.Minaminagai.110079.2
NishiTokyoBus.HamuraCityLibrary.YutorogiIriguchi.8588.17,図書館・ゆとろぎ,17,35.7641962529892,139.316529942723,NishiTokyoBus.HamuraCityLibrary.YutorogiIriguchi.8588.17
NishiTokyoBus.KawanoriBashiBridge.6110.10,川乗橋,10,35.8319759164704,139.07620261399,NishiTokyoBus.KawanoriBashiBridge.6110.10
NishiTokyoBus.Fujimidaira1Chome.8535.17,富士見平一丁目,17,35.7637974975112,139.321725918452,NishiTokyoBus.Fujimidaira1Chome.8535.17
NishiTokyoBus.ShirotaeBashiBridge.6100.10,白妙橋,10,35.8293581337606,139.075793046322,NishiTokyoBus.ShirotaeBashiBridge.6100.10
NishiTokyoBus.DainiJHSSouth.8536.17,第二中学校南,17,35.7635331033295,139.322984437219,NishiTokyoBus.DainiJHSSouth.8536.17
NishiTokyoBus.Osawa.6090.10,大沢,10,35.8239531891857,139.077674527836,NishiTokyoBus.Osawa.6090.10
NishiTokyoBus.Furo.6080.10,不老,10,35.8215068660526,139.082361751212,NishiTokyoBus.Furo.6080.10
NishiTokyoBus.HamuradanchiNishi.8537.17,羽村団地西,17,35.7661545271662,139.32513469349,NishiTokyoBus.HamuradanchiNishi.8537.17
NishiTokyoBus.HamuradanchiKita.8538.17,羽村団地北,17,35.7676418867937,139.326206202681,NishiTokyoBus.HamuradanchiKita.8538.17
NishiTokyoBus.Teraji.6070.10,寺地,10,35.8175537483687,139.086403542017,NishiTokyoBus.Teraji.6070.10
SeibuBus.Shimomizuno.130145.1,下水野,1,35.8399044444444,139.436350555556,SeibuBus.Shimomizuno.130145.1
NishiTokyoBus.HamuraCitySwimmingCenter.8539.17,スイミングセンター,17,35.7690379038157,139.329368098028,NishiTokyoBus.HamuraCitySwimmingCenter.8539.17
